Jumlah Keluar,Catatan,Waktu,Harga Jual,Total,Nama Barang,SKU
1,Pesanan ID-20180109-853724,2018-01-09 02:38:35 +0000 UTC,115000,115000,"Zeomila Zipper Casual Blouse (M,Red)",SSI-D01401050-MM-RED
1,Pesanan ID-20180109-853724,2018-01-09 02:38:35 +0000 UTC,125000,125000,"Dellaya Plain Loose Big Blouse (XXL,Black)",SSI-D01037822-XX-BLA
2,Pesanan ID-20180108-149680,2018-01-09 02:07:08 +0000 UTC,115000,230000,"Thafqya Plain Raglan Blouse (XL,White)",SSI-D01322275-XL-WHI
1,Pesanan ID-20180108-548167,2018-01-08 22:05:14 +0000 UTC,125000,125000,"Zeomila Zipper Casual Blouse (XL,Red)",SSI-D01401064-XL-RED
1,Pesanan ID-20180108-548167,2018-01-08 22:05:14 +0000 UTC,115000,115000,"Thafqya Plain Raglan Blouse (XL,White)",SSI-D01322275-XL-WHI
1,Pesanan ID-20180108-901847,2018-01-08 21:37:11 +0000 UTC,120000,120000,"Zeomila Zipper Casual Blouse (M,Red)",SSI-D01401050-MM-RED
1,Pesanan ID-20180108-170723,2018-01-08 15:26:44 +0000 UTC,110000,110000,"Zeomila Zipper Casual Blouse (M,Red)",SSI-D01401050-MM-RED
1,Pesanan ID-20180108-170723,2018-01-08 15:26:44 +0000 UTC,130000,130000,"Devibav Plain Trump Blouse (XXL,Salem)",SSI-D01220338-XX-SAL
1,Pesanan ID-20180108-268141,2018-01-08 11:46:26 +0000 UTC,110000,110000,"Dellaya Plain Loose Big Blouse (XXL,Black)",SSI-D01037822-XX-BLA
1,Pesanan ID-20180108-750817,2018-01-08 11:41:25 +0000 UTC,130000,130000,"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED
1,Pesanan ID-20180108-921818,2018-01-08 10:32:13 +0000 UTC,130000,130000,"Dellaya Plain Loose Big Blouse (XXXL,Black)",SSI-D01037812-X3-BLA
1,Pesanan ID-20180108-054736,2018-01-08 10:09:56 +0000 UTC,120000,120000,"Deklia Plain Casual Blouse (S,Navy)",SSI-D00864652-SS-NAV
1,Pesanan ID-20180108-771439,2018-01-08 09:51:39 +0000 UTC,115000,115000,"Thafqya Plain Raglan Blouse (XL,White)",SSI-D01322275-XL-WHI
1,Pesanan ID-20180108-514947,2018-01-08 08:12:11 +0000 UTC,130000,130000,"Deklia Plain Casual Blouse (S,Navy)",SSI-D00864652-SS-NAV
1,Pesanan ID-20180108-514947,2018-01-08 08:12:11 +0000 UTC,130000,130000,"Zeomila Zipper Casual Blouse (XL,Red)",SSI-D01401064-XL-RED
1,Pesanan ID-20180108-300302,2018-01-08 07:18:11 +0000 UTC,130000,130000,"Siunfhi Ethnic Trump Blouse (M,Navy)",SSI-D01326205-MM-NAV
1,Pesanan ID-20180108-314485,2018-01-08 05:14:13 +0000 UTC,120000,120000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
1,Pesanan ID-20180108-314485,2018-01-08 05:14:13 +0000 UTC,115000,115000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
1,Pesanan ID-20180108-712081,2018-01-08 05:08:47 +0000 UTC,130000,130000,"Dellaya Plain Loose Big Blouse (XXL,Black)",SSI-D01037822-XX-BLA
1,Pesanan ID-20180108-290736,2018-01-08 04:43:22 +0000 UTC,115000,115000,"Dellaya Plain Loose Big Blouse (XXL,Black)",SSI-D01037822-XX-BLA
1,Pesanan ID-20180108-290736,2018-01-08 04:43:22 +0000 UTC,115000,115000,"Deklia Plain Casual Blouse (S,Navy)",SSI-D00864652-SS-NAV
1,Pesanan ID-20180108-516025,2018-01-08 03:54:55 +0000 UTC,110000,110000,"Deklia Plain Casual Blouse (S,Navy)",SSI-D00864652-SS-NAV
1,Pesanan ID-20180108-232069,2018-01-08 03:42:09 +0000 UTC,125000,125000,"Devibav Plain Trump Blouse (M,Salem)",SSI-D01220388-MM-SAL
1,Pesanan ID-20180108-787015,2018-01-08 02:52:26 +0000 UTC,110000,110000,"Zeomila Zipper Casual Blouse (M,Red)",SSI-D01401050-MM-RED
1,Pesanan ID-20180108-806361,2018-01-08 01:06:26 +0000 UTC,110000,110000,"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED
1,Pesanan ID-20180108-806361,2018-01-08 01:06:26 +0000 UTC,115000,115000,"Siunfhi Ethnic Trump Blouse (XL,Khaki)",SSI-D01326201-XL-KHA
1,Pesanan ID-20180107-158796,2018-01-07 23:04:34 +0000 UTC,130000,130000,"Zeomila Zipper Casual Blouse (M,Red)",SSI-D01401050-MM-RED
1,Pesanan ID-20180107-954171,2018-01-07 19:19:21 +0000 UTC,130000,130000,"Dellaya Plain Loose Big Blouse (XXL,Black)",SSI-D01037822-XX-BLA
1,Pesanan ID-20180107-988936,2018-01-07 16:58:37 +0000 UTC,125000,125000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
1,Pesanan ID-20180107-824047,2018-01-07 14:48:46 +0000 UTC,130000,130000,"Thafqya Plain Raglan Blouse (L,White)",SSI-D01322234-LL-WHI
1,Pesanan ID-20180107-824047,2018-01-07 14:48:46 +0000 UTC,115000,115000,"Salyara Plain Casual Big Blouse (XXL,Black)",SSI-D01466013-XX-BLA
1,Pesanan ID-20180107-224203,2018-01-07 14:24:02 +0000 UTC,130000,130000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
1,Pesanan ID-20180107-932533,2018-01-07 13:55:44 +0000 UTC,130000,130000,"Devibav Plain Trump Blouse (XXL,Yellow)",SSI-D01220355-XX-YEL
