Nama Item,SKU,Jumlah Sekarang
"Zalekia Plain Casual Blouse (L,Broken White)",SSI-D00791015-LL-BWH,154
"Zalekia Plain Casual Blouse (M,Broken White)",SSI-D00791077-MM-BWH,138
"Zalekia Plain Casual Blouse (XL,Broken White)",SSI-D00791091-XL-BWH,137
"Deklia Plain Casual Blouse (L,Navy)",SSI-D00864612-LL-NAV,8
"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV,97
"Deklia Plain Casual Blouse (S,Navy)",SSI-D00864652-SS-NAV,2
"Deklia Plain Casual Blouse (M,Navy)",SSI-D00864661-MM-NAV,13
"Dellaya Plain Loose Big Blouse (XXXL,Broken White)",SSI-D01037807-X3-BWH,74
"Dellaya Plain Loose Big Blouse (XXXL,Black)",SSI-D01037812-X3-BLA,54
"Dellaya Plain Loose Big Blouse (XXL,Black)",SSI-D01037822-XX-BLA,8
"Devibav Plain Trump Blouse (XL,Salem)",SSI-D01220307-XL-SAL,182
"Devibav Plain Trump Blouse (M,Yellow)",SSI-D01220322-MM-YEL,121
"Devibav Plain Trump Blouse (XL,Yellow)",SSI-D01220334-XL-YEL,110
"Devibav Plain Trump Blouse (XXL,Salem)",SSI-D01220338-XX-SAL,65
"Devibav Plain Trump Blouse (L,Salem)",SSI-D01220346-LL-SAL,151
"Devibav Plain Trump Blouse (L,Yellow)",SSI-D01220349-LL-YEL,101
"Devibav Plain Trump Blouse (XXL,Yellow)",SSI-D01220355-XX-YEL,140
"Devibav Plain Trump Blouse (S,Yellow)",SSI-D01220357-SS-YEL,74
"Devibav Plain Trump Blouse (M,Salem)",SSI-D01220388-MM-SAL,216
"Thafqya Plain Raglan Blouse (L,White)",SSI-D01322234-LL-WHI,105
"Thafqya Plain Raglan Blouse (XL,White)",SSI-D01322275-XL-WHI,116
"Siunfhi Ethnic Trump Blouse (XL,Khaki)",SSI-D01326201-XL-KHA,186
"Siunfhi Ethnic Trump Blouse (M,Navy)",SSI-D01326205-MM-NAV,143
"Siunfhi Ethnic Trump Blouse (M,Khaki)",SSI-D01326223-MM-KHA,209
"Siunfhi Ethnic Trump Blouse (L,Khaki)",SSI-D01326286-LL-KHA,210
"Siunfhi Ethnic Trump Blouse (L,Navy)",SSI-D01326299-LL-NAV,127
"Zeomila Zipper Casual Blouse (M,Red)",SSI-D01401050-MM-RED,73
"Zeomila Zipper Casual Blouse (XL,Red)",SSI-D01401064-XL-RED,44
"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED,76
"Salyara Plain Casual Big Blouse (XXL,Black)",SSI-D01466013-XX-BLA,77
"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA,52
