Tanggal Cetak : 2019-02-02 10:56:19
Jumlah SKU : 31
Jumlah Total Barang : 3263
Total Nilai : 225960913

Nama Item,SKU,Jumlah,Rata-Rata Harga Beli,Total
"Zalekia Plain Casual Blouse (L,Broken White)",SSI-D00791015-LL-BWH,154,69333,10677282
"Zalekia Plain Casual Blouse (M,Broken White)",SSI-D00791077-MM-BWH,138,69667,9614046
"Zalekia Plain Casual Blouse (XL,Broken White)",SSI-D00791091-XL-BWH,137,72667,9955379
"Deklia Plain Casual Blouse (L,Navy)",SSI-D00864612-LL-NAV,8,68000,544000
"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV,97,67333,6531301
"Deklia Plain Casual Blouse (S,Navy)",SSI-D00864652-SS-NAV,2,70000,140000
"Deklia Plain Casual Blouse (M,Navy)",SSI-D00864661-MM-NAV,13,73000,949000
"Dellaya Plain Loose Big Blouse (XXXL,Broken White)",SSI-D01037807-X3-BWH,74,63000,4662000
"Dellaya Plain Loose Big Blouse (XXXL,Black)",SSI-D01037812-X3-BLA,54,70833,3824982
"Dellaya Plain Loose Big Blouse (XXL,Black)",SSI-D01037822-XX-BLA,8,73400,587200
"Devibav Plain Trump Blouse (XL,Salem)",SSI-D01220307-XL-SAL,182,67167,12224394
"Devibav Plain Trump Blouse (M,Yellow)",SSI-D01220322-MM-YEL,121,69000,8349000
"Devibav Plain Trump Blouse (XL,Yellow)",SSI-D01220334-XL-YEL,110,67333,7406630
"Devibav Plain Trump Blouse (XXL,Salem)",SSI-D01220338-XX-SAL,65,68500,4452500
"Devibav Plain Trump Blouse (L,Salem)",SSI-D01220346-LL-SAL,151,68400,10328400
"Devibav Plain Trump Blouse (L,Yellow)",SSI-D01220349-LL-YEL,101,70500,7120500
"Devibav Plain Trump Blouse (XXL,Yellow)",SSI-D01220355-XX-YEL,140,67000,9380000
"Devibav Plain Trump Blouse (S,Yellow)",SSI-D01220357-SS-YEL,74,69667,5155358
"Devibav Plain Trump Blouse (M,Salem)",SSI-D01220388-MM-SAL,216,69000,14904000
"Thafqya Plain Raglan Blouse (L,White)",SSI-D01322234-LL-WHI,105,74750,7848750
"Thafqya Plain Raglan Blouse (XL,White)",SSI-D01322275-XL-WHI,116,63250,7337000
"Siunfhi Ethnic Trump Blouse (XL,Khaki)",SSI-D01326201-XL-KHA,186,69000,12834000
"Siunfhi Ethnic Trump Blouse (M,Navy)",SSI-D01326205-MM-NAV,143,74250,10617750
"Siunfhi Ethnic Trump Blouse (M,Khaki)",SSI-D01326223-MM-KHA,209,65000,13585000
"Siunfhi Ethnic Trump Blouse (L,Khaki)",SSI-D01326286-LL-KHA,210,70750,14857500
"Siunfhi Ethnic Trump Blouse (L,Navy)",SSI-D01326299-LL-NAV,127,71250,9048750
"Zeomila Zipper Casual Blouse (M,Red)",SSI-D01401050-MM-RED,73,69667,5085691
"Zeomila Zipper Casual Blouse (XL,Red)",SSI-D01401064-XL-RED,44,69000,3036000
"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED,76,68000,5168000
"Salyara Plain Casual Big Blouse (XXL,Black)",SSI-D01466013-XX-BLA,77,78500,6044500
"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA,52,71000,3692000
