Tanggal Cetak : 2019-02-02 10:57:10
Tanggal : 2018-01-01 00:00:00-2018-01-10 00:00:00
Total Omzet : 25355000
Laba Kotor : 10514902
Total Penjualan : 212
Total Barang : 214

ID Pesanan,Jumlah,Waktu,Harga Jual,Harga Beli,Total,Laba,Nama Barang,SKU
ID-20180109-853724,1,2018-01-09 02:38:35 +0000 UTC,115000,69667,115000,45333,"Zeomila Zipper Casual Blouse (M,Red)",SSI-D01401050-MM-RED
ID-20180109-853724,1,2018-01-09 02:38:35 +0000 UTC,125000,73400,125000,51600,"Dellaya Plain Loose Big Blouse (XXL,Black)",SSI-D01037822-XX-BLA
ID-20180108-149680,2,2018-01-09 02:07:08 +0000 UTC,115000,63250,230000,166750,"Thafqya Plain Raglan Blouse (XL,White)",SSI-D01322275-XL-WHI
ID-20180108-548167,1,2018-01-08 22:05:14 +0000 UTC,125000,69000,125000,56000,"Zeomila Zipper Casual Blouse (XL,Red)",SSI-D01401064-XL-RED
ID-20180108-548167,1,2018-01-08 22:05:14 +0000 UTC,115000,63250,115000,51750,"Thafqya Plain Raglan Blouse (XL,White)",SSI-D01322275-XL-WHI
ID-20180108-901847,1,2018-01-08 21:37:11 +0000 UTC,120000,69667,120000,50333,"Zeomila Zipper Casual Blouse (M,Red)",SSI-D01401050-MM-RED
ID-20180108-170723,1,2018-01-08 15:26:44 +0000 UTC,110000,69667,110000,40333,"Zeomila Zipper Casual Blouse (M,Red)",SSI-D01401050-MM-RED
ID-20180108-170723,1,2018-01-08 15:26:44 +0000 UTC,130000,68500,130000,61500,"Devibav Plain Trump Blouse (XXL,Salem)",SSI-D01220338-XX-SAL
ID-20180108-268141,1,2018-01-08 11:46:26 +0000 UTC,110000,73400,110000,36600,"Dellaya Plain Loose Big Blouse (XXL,Black)",SSI-D01037822-XX-BLA
ID-20180108-750817,1,2018-01-08 11:41:25 +0000 UTC,130000,68000,130000,62000,"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED
ID-20180108-921818,1,2018-01-08 10:32:13 +0000 UTC,130000,70833,130000,59167,"Dellaya Plain Loose Big Blouse (XXXL,Black)",SSI-D01037812-X3-BLA
ID-20180108-054736,1,2018-01-08 10:09:56 +0000 UTC,120000,70000,120000,50000,"Deklia Plain Casual Blouse (S,Navy)",SSI-D00864652-SS-NAV
ID-20180108-771439,1,2018-01-08 09:51:39 +0000 UTC,115000,63250,115000,51750,"Thafqya Plain Raglan Blouse (XL,White)",SSI-D01322275-XL-WHI
ID-20180108-514947,1,2018-01-08 08:12:11 +0000 UTC,130000,70000,130000,60000,"Deklia Plain Casual Blouse (S,Navy)",SSI-D00864652-SS-NAV
ID-20180108-514947,1,2018-01-08 08:12:11 +0000 UTC,130000,69000,130000,61000,"Zeomila Zipper Casual Blouse (XL,Red)",SSI-D01401064-XL-RED
ID-20180108-300302,1,2018-01-08 07:18:11 +0000 UTC,130000,74250,130000,55750,"Siunfhi Ethnic Trump Blouse (M,Navy)",SSI-D01326205-MM-NAV
ID-20180108-314485,1,2018-01-08 05:14:13 +0000 UTC,120000,71000,120000,49000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
